"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",6863.98219251856,0.180151060714733,0.148720064481102,1.21134334726989,0.225763842120941,0.99973703262644
"ENSG00000000419",6657.21757945199,-0.191880722876233,0.216100754881218,-0.887922501620608,0.374582439926993,0.99973703262644
"ENSG00000000457",4138.06397547769,-0.075248584667373,0.118731020973095,-0.633773583774917,0.526228595129433,0.99973703262644
"ENSG00000000460",4485.05808702812,-0.0326745020877387,0.165102311166163,-0.197904571153183,0.843119727652475,0.99973703262644
"ENSG00000000938",19.1330805133917,-0.53711035144641,0.551974667721075,-0.973070654970391,0.330518187455454,NA
"ENSG00000000971",16752.743582801,-0.132690932849975,0.25857966518778,-0.513153007424676,0.607844294740791,0.99973703262644
"ENSG00000001036",8553.88885187773,0.107751598428813,0.116528469911666,0.924680453716536,0.355132149694423,0.99973703262644
"ENSG00000001084",3148.25137126584,0.037843597356598,0.136010386063837,0.27824049656646,0.780827749947345,0.99973703262644
"ENSG00000001167",8206.82390186564,0.00725783002886897,0.0806305649549663,0.0900133842907166,0.92827657888011,0.99973703262644
"ENSG00000001460",1622.8325093546,-0.0470777787216042,0.181619794434506,-0.259210615606004,0.795472740888634,0.99973703262644
"ENSG00000001461",9732.6937249716,0.225943669221334,0.217255303553942,1.03999150089901,0.298343849310821,0.99973703262644
"ENSG00000001497",3556.9361408826,-0.0531333304149272,0.197665675043267,-0.268804031875018,0.788080490517628,0.99973703262644
"ENSG00000001561",766.192704511593,0.361280447713285,0.33669402623521,1.07302304039365,0.283260778603465,0.99973703262644
"ENSG00000001617",161.784587610135,-0.301479877172639,0.315623895299277,-0.955187112454756,0.339483081906773,0.99973703262644
"ENSG00000001626",28.2934570740429,0.00650081063589238,0.62591185824664,0.0103861439118649,0.991713205112217,NA
"ENSG00000001629",35515.4172838602,0.252505124888799,0.143194109465122,1.76337648128118,0.0778370137455766,0.99973703262644
"ENSG00000001630",30030.8717647954,-0.119143080223663,0.180194383810196,-0.661191973381145,0.508489208101764,0.99973703262644
"ENSG00000001631",17336.5806660697,0.0912614405573151,0.206778590126766,0.44134859659004,0.658960649617208,0.99973703262644
"ENSG00000002016",1789.29675601074,-0.0960113702081156,0.0970839229127615,-0.988952313910825,0.322686473333281,0.99973703262644
"ENSG00000002079",32.7166993449345,-0.483788818668523,0.564558075506833,-0.856933661314119,0.39148154827208,0.99973703262644
"ENSG00000002330",313.605855549622,0.142223318438548,0.423470616825613,0.33585168081949,0.736982715740105,0.99973703262644
"ENSG00000002549",8282.61181706094,0.0428731796071854,0.121455720538347,0.352994321034463,0.724092698001662,0.99973703262644
"ENSG00000002586",23763.7016187792,-0.132921818068692,0.236207560133391,-0.562733123332834,0.573616625539544,0.99973703262644
"ENSG00000002745",543.663146675747,0.266916808629189,0.393275938030322,0.678701092078024,0.497327274071966,0.99973703262644
"ENSG00000002746",836.747145365273,0.0716434435764296,0.161561483690259,0.443443832898827,0.657444737010304,0.99973703262644
"ENSG00000002822",339.299357305315,-0.00425557959525319,0.361978327084915,-0.0117564485960368,0.990619927252207,0.99973703262644
"ENSG00000002834",72246.4262813768,0.155261429587822,0.136553180327623,1.13700339468707,0.255536866547245,0.99973703262644
"ENSG00000002919",985.896173448831,0.109467718885205,0.15881763856709,0.689266758232038,0.490655412821135,0.99973703262644
"ENSG00000002933",1062.95670695936,-0.76028930431142,0.755974320352103,-1.00570784462269,0.314556128505423,0.99973703262644
"ENSG00000003056",10045.4348642522,0.0186620028448131,0.165730783888841,0.112604323752732,0.910344256996692,0.99973703262644
"ENSG00000003096",128.335940173474,-0.123932180759047,0.299936607268201,-0.413194580974333,0.679464058100802,0.99973703262644
